principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,precio_por_tableta,factoresprecio,numerofactor,categoria_precio
Simvastatina Y Ezetemibe,Tableta,Simvastatina 40 mg + Ezetimiba 10 mg,mg,Ezetimibe + Simvastatina,Mk,3715.506271,Bajo,1,Economico
Simvastatina Y Ezetemibe,Tableta,Simvastatina 40 mg + Ezetimiba 10 mg,mg,Ezetimibe + Simvastatina,Mk,997.0187793,Bajo,1,Economico
Maraviroc,Tableta,Maraviroc 150 mg,mg,Celsentri,Glaxosmithkline,20992.53846,Medio,2,Moderado
Maraviroc,Tableta,Maraviroc 300 mg,mg,Celsentri,Glaxosmithkline,20996.13333,Medio,2,Moderado
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirrinol,Quimica Patric,539.0,Medio,2,Economico
Drospirenona Y Etinilestradiol,Tableta,"Etinilestradiol 0,02 mg + Drospirenona 3 mg",mg,Femelle,Synthesis,1044.571429,Medio,2,Economico
Drospirenona Y Etinilestradiol,Tableta,"Etinilestradiol 0,02 mg + Drospirenona 3 mg",mg,Femelle,Synthesis,998.4424242,Medio,2,Economico
Hidromorfona,Tableta,"Hidromorfona 2,5 mg",mg,Hidromorfona,Fondo Nacional De Estupefacientes,600.0,Medio,2,Economico
Hidromorfona,Tableta,"Hidromorfona 2,5 mg",mg,Hidromorfona,Fondo Nacional De Estupefacientes,531.2258962,Medio,2,Economico
Montelukast,Tableta,Montelukast 10 mg,mg,Montelukast,Tecnoquimicas,1740.576805,Medio,2,Economico
Montelukast,Tableta,Montelukast 10 mg,mg,Montelukast,Tecnoquimicas,961.3230769,Alto,3,Economico
Fenilefrina Y Cetirizina,Capsula,Fenilefrina 20 mg + Cetirizina 5 mg,mg,Cetirrinol,Quimica Patric,645.8179232,Medio,2,Economico
Carbonato De Calcio Y Colecalciferol,Tableta,Calcio Citrato 315 mg + Vitamina D3 200 IU,mg,Citragel,Procaps,1688.774538,Medio,2,Economico
Carbonato De Calcio Y Colecalciferol,Tableta,Calcio Citrato 315 mg + Vitamina D3 200 IU,mg,Citragel,Procaps,574.113703,Medio,2,Economico
Montelukast,Tableta Masticable,Montelukast 5 mg,mg,Montelukast,Tecnoquimicas,1134.831077,Medio,2,Economico
Montelukast,Tableta Masticable,Montelukast 5 mg,mg,Montelukast,Tecnoquimicas,721.0,Medio,2,Economico
Nitazoxanida,Tableta,Nitazoxanida 200 mg,mg,Kazide,Lafrancol,10512.0,Medio,2,Moderado
Nitazoxanida,Tableta,Nitazoxanida 200 mg,mg,Kazide,Lafrancol,1450.950464,Medio,2,Economico
Levonorgestrel,Tableta,"Levonorgestrel 0,75 mg",mg,Evinet,Procaps,6550.0,Alto,3,Economico
Levonorgestrel,Tableta,"Levonorgestrel 0,75 mg",mg,Evinet,Procaps,1100.0,Bajo,1,Economico
Hidroxicloroquina,Tableta,Hidroxicloroquina 200 mg,mg,Hcqs,Ipca,513.8666408,Bajo,1,Economico
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Nitoxipar,Bioquifar,1511.831325,Bajo,1,Economico
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Nitoxipar,Bioquifar,1500.0,Medio,2,Economico
Montelukast,Tableta Masticable,Montelukast 4 mg,mg,Montelukast,Tecnoquimicas,939.9584981,Medio,2,Economico
Montelukast,Tableta Masticable,Montelukast 4 mg,mg,Montelukast,Tecnoquimicas,706.0,Medio,2,Economico
Tiocolchicosida,Tableta,Tiocolchicosida 4 mg,mg,Tiocolsid,Galeno Quimica,3095.542172,Medio,2,Economico
Tiocolchicosida,Tableta,Tiocolchicosida 4 mg,mg,Tiocolsid,Galeno Quimica,1519.546404,Medio,2,Economico
Valsartan Y Amlodipino,Capsula,Valsartan 5 mg + Amlodipino 80 mg,mg,Varteral Nf,Procaps,785.7142857,Medio,2,Economico
Valsartan Y Amlodipino,Capsula,Valsartan 5 mg + Amlodipino 80 mg,mg,Varteral Nf,Procaps,547.5173554,Medio,2,Economico
Amlodipino Y Valsartan,Capsula,Amlodipino 10 mg + Valsartan 80 mg,mg,Varteral Nf,Procaps,785.7142857,Medio,2,Economico
Amlodipino Y Valsartan,Capsula,Amlodipino 10 mg + Valsartan 80 mg,mg,Varteral Nf,Procaps,615.9827089,Medio,2,Economico
Secnidazol,Tableta,Secnidazol 1 mg,mg,Secnidazol,Profma,1750.0,Medio,2,Economico
Prednisolona,Tableta,Prednisolona 5 mg,mg,Prednisolona,Memphis,205.1347627,Medio,2,Economico
Metformina,Tableta,Metformina 850 mg,mg,Metformina,Sandoz,320.0,Medio,2,Economico
Mosaprida,Tableta,Mosaprida 5 mg,mg,Gasprid M,Mega Labs,2455.694326,Bajo,1,Economico
Mosaprida,Tableta,Mosaprida 5 mg,mg,Gasprid M,Mega Labs,276.4405058,Medio,2,Economico
Amoxicilina Y Sulbactam,Tableta,Sulbactam 125 mg + Amoxicilina 875 mg,mg,Eumoxin,Bioquifar,2968.77551,Bajo,1,Economico
Tinidazol,Tableta,Tinidazol 500 mg,mg,Membitrol,Quimica Patric,484.5061189,Medio,2,Economico
Doxiciclina,Capsula,Doxiciclina 100 mg,mg,Doxiciclina,Gimed,585.1,Medio,2,Economico
Quetiapina,Tableta,Quetiapina 100 mg,mg,Quetiapina,Colmed,1481.338384,Alto,3,Economico
Quetiapina,Tableta,Quetiapina 100 mg,mg,Quetiapina,Colmed,320.0,Medio,2,Economico
Memantina,Tableta,Memantina 10 mg,mg,Memantina,Mk,1556.511829,Medio,2,Economico
Esomeprazol,Tableta,Esomeprazol 40 mg,mg,Esomeprazol,American Generics,1304.0,Medio,2,Economico
Esomeprazol,Tableta,Esomeprazol 40 mg,mg,Esomeprazol,American Generics,1867.741803,Bajo,1,Economico
Fenilefrina Y Fexofenadina,Tableta,Fenilefrina 25 mg + Fexofenadina 60 mg,mg,Rinolast D,Farma,6502.7,Bajo,1,Economico
Fenilefrina Y Fexofenadina,Tableta,Fenilefrina 25 mg + Fexofenadina 60 mg,mg,Rinolast D,Farma,1652.602494,Medio,2,Economico
Naproxeno,Tableta,Naproxeno 250 mg,mg,Naproxeno,Gimed,418.9,Medio,2,Economico
Quetiapina,Tableta,Quetiapina 25 mg,mg,Quetiapina,Colmed,119.425131,Bajo,1,Economico
Quetiapina,Tableta,Quetiapina 25 mg,mg,Quetiapina,Colmed,359.8946286,Alto,3,Economico
Quetiapina,Tableta,Quetiapina 200 mg,mg,Quetiapina,Colmed,2801.168831,Medio,2,Economico
Quetiapina,Tableta,Quetiapina 200 mg,mg,Quetiapina,Colmed,681.0130246,Alto,3,Economico
Drospirenona Y Estrogeno,Tableta,Estradiol 1 mg + Drospirenona 2 mg,mg,Marcelle,Procaps,1321.428571,Bajo,1,Economico
Drospirenona Y Estrogeno,Tableta,Estradiol 1 mg + Drospirenona 2 mg,mg,Marcelle,Procaps,704.0843902,Bajo,1,Economico
Esomeprazol,Tableta,Esomeprazol 20 mg,mg,Esomeprazol,American Generics,1690.1,Medio,2,Economico
Fexofenadina,Tableta,Fexofenadina 120 mg,mg,Garmisch Fentradol,Mega Labs,5130.016461,Medio,2,Economico
Fexofenadina,Tableta,Fexofenadina 120 mg,mg,Garmisch Fentradol,Mega Labs,394.0,Medio,2,Economico
Fexofenadina,Tableta,Fexofenadina 180 mg,mg,Garmisch Fentradol,Mega Labs,7271.960507,Alto,3,Economico
Fexofenadina,Tableta,Fexofenadina 180 mg,mg,Garmisch Fentradol,Mega Labs,528.0,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Rosuvastatina,Tecnoquimicas,3984.280304,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Rosuvastatina,Tecnoquimicas,1118.0625,Alto,3,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Rex,Bussié,2928.968254,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Rex,Bussié,124.2597403,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Rosuvastatina,Tecnoquimicas,5226.405168,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Rosuvastatina,Tecnoquimicas,2959.605578,Medio,2,Economico
Metformina Y Sulfonilureas,Tableta,Sitagliptina 50 mg + Metformina 850 mg,mg,Janumet,Merck Sharp Dome,1831.185936,Medio,2,Economico
Metformina Y Sulfonilureas,Tableta,Sitagliptina 50 mg + Metformina 850 mg,mg,Janumet,Merck Sharp Dome,1285.678747,Medio,2,Economico
Acetaminofen Y Cafeina,Tableta,Acetaminofen 500 mg + Cafeina 65 mg,mg,Acetaminofen + Cafeina,Tecnoquimicas,875.0529159,Medio,2,Economico
Acetaminofen Y Cafeina,Tableta,Acetaminofen 500 mg + Cafeina 65 mg,mg,Acetaminofen + Cafeina,Tecnoquimicas,487.6859564,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Rex,Bussié,3022.933333,Bajo,1,Economico
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Rex,Bussié,153.9900076,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Rex,Bussié,3967.6,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Rex,Bussié,205.7484975,Bajo,1,Economico
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,Ecar,310.0457038,Medio,2,Economico
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,Ecar,36.32374162,Bajo,1,Economico
Levotiroxina Sodica,Tableta,Levotiroxina Sodica 150 mcg,mcg,Eutirox,Merck,1636.76,Alto,3,Economico
Levotiroxina Sodica,Tableta,Levotiroxina Sodica 150 mcg,mcg,Eutirox,Merck,162.3906934,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Rosuvastatina,Tecnoquimicas,4763.149331,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Rosuvastatina,Tecnoquimicas,3586.7,Alto,3,Economico
Azitromicina,Tableta,Azitromicina 500 mg,mg,Aztrobac,Bioquifar,2376.141747,Medio,2,Economico
Azitromicina,Tableta,Azitromicina 500 mg,mg,Aztrobac,Bioquifar,1100.0,Medio,2,Economico
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina Maleato,Pentacoop,411.2525424,Medio,2,Economico
Azitromicina,Tableta,Azitromicina 500 mg,mg,Azitromicina,Memphis,2674.347252,Medio,2,Economico
Cetirizina,Tableta Masticable,Cetirizina 10 mg,mg,Cetirax,Lafrancol,6401.6,Alto,3,Economico
Cetirizina,Tableta Masticable,Cetirizina 10 mg,mg,Cetirax,Lafrancol,3558.414313,Alto,3,Economico
Acetaminofen + Cafeina + Naproxeno,Tableta,Acetaminofen 250 mg + Naproxeno 220 mg + Cafeina 65 mg,mg,Movidol,Pauly,1164.494116,Bajo,1,Economico
Acetaminofen + Cafeina + Naproxeno,Tableta,Acetaminofen 250 mg + Naproxeno 220 mg + Cafeina 65 mg,mg,Movidol,Pauly,782.2587859,Bajo,1,Economico
Metoprolol,Tableta,Metoprolol 50 mg,mg,Metoprolol,Laproff,159.5688479,Bajo,1,Economico
Cefpodoxima,Tableta,Cefpodoxima 100 mg,mg,Doxcef,Legrand,6465.365583,Medio,2,Economico
Cefpodoxima,Tableta,Cefpodoxima 100 mg,mg,Doxcef,Legrand,3945.662338,Medio,2,Economico
Acetaminofen + Fenilefrina + Cetirizina,Tableta,Cetirizina 5 mg + Acetaminofen 500 mg + Fenilefrina 5 mg,mg,Gripofen Plus,Seres,645.1121457,Medio,2,Economico
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Tecnoquimicas,64.73228346,Medio,2,Economico
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Tecnoquimicas,522.8222557,Alto,3,Economico
Aceclofenaco,Tableta,Aceclofenaco 100 mg,mg,Zerodol,Ipca,2856.584019,Alto,3,Economico
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Genfar,386.2428571,Alto,3,Economico
Glibenclamida,Tableta,Glibenclamida 5 mg,mg,Glibenclamida,Genfar,103.5510204,Alto,3,Economico
N- Butil Bromuro De Hioscina Y Acetaminofen,Tableta,N- Butil Bromuro De Hioscina 325 mg + Acetaminofen 10 mg,mg,Estolas,Coopidrogas,580.5901161,Medio,2,Economico
Itraconazol,Capsula,Itraconazol 100 mg,mg,Micotrazol,Bioquifar,640.0,Bajo,1,Economico
Itraconazol,Capsula,Itraconazol 100 mg,mg,Micotrazol,Bioquifar,88.09823183,Bajo,1,Economico
Metformina,Tableta,Metformina 500 mg,mg,Metformina,Genfar,1246.184367,Medio,2,Economico
Metformina,Tableta,Metformina 500 mg,mg,Metformina,Genfar,89.83187295,Bajo,1,Economico
Atorvastatina Y Ezetimibe,Tableta,Atorvastatina 20 mg + Ezetimiba 10 mg,mg,Colmibe,Farmaceutica Paraguaya,5121.255665,Medio,2,Economico
Atorvastatina Y Ezetimibe,Tableta,Atorvastatina 20 mg + Ezetimiba 10 mg,mg,Colmibe,Farmaceutica Paraguaya,671.1637283,Medio,2,Economico
Piridoxina (Vit B6),Tableta,Piridoxina (Vit B6) 100 mg + Piridoxina (Vit B6) 150 mg,mg,Neurobion,Procter & Gamble,1167.810157,Medio,2,Economico
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Genfar,10662.67771,Alto,3,Moderado
Secnidazol,Tableta,Secnidazol 1 g,g,Secnidazol,Genfar,2318.862369,Alto,3,Economico
Donepezil,Tableta,Donepezil 5 mg,mg,Donepezilo,La Sante,1699.484715,Medio,2,Economico
Donepezil,Tableta,Donepezil 5 mg,mg,Donepezilo,La Sante,264.5324675,Bajo,1,Economico
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Nitazoxanida,La Sante,3915.625147,Medio,2,Economico
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Nitazoxanida,La Sante,562.519774,Bajo,1,Economico
Donepezil,Tableta,Donepezil 10 mg,mg,Donepezilo Clorhidrato,La Sante,3388.580652,Medio,2,Economico
Donepezil,Tableta,Donepezil 10 mg,mg,Donepezilo Clorhidrato,La Sante,327.7210884,Medio,2,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafilo,Genfar,1852.028721,Medio,2,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafilo,Genfar,145.6925093,Bajo,1,Economico
Metformina Y Sulfonilureas,Tableta,Metformina 1000 mg + Glimepirida 2 mg,mg,Amaryl M,Sanofi Aventis,1900.0,Medio,2,Economico
Metformina Y Sulfonilureas,Tableta,Metformina 1000 mg + Glimepirida 2 mg,mg,Amaryl M,Sanofi Aventis,1198.453271,Medio,2,Economico
Metformina Y Sulfonilureas,Tableta,Glimepirida 4 mg + Metformina 1000 mg,mg,Amaryl M,Sanofi Aventis,2710.0,Alto,3,Economico
Metformina Y Sulfonilureas,Tableta,Glimepirida 4 mg + Metformina 1000 mg,mg,Amaryl M,Sanofi Aventis,2037.668874,Alto,3,Economico
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 75 mg,mg,Pradaxa,Boehringer,2587.532143,Medio,2,Economico
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 75 mg,mg,Pradaxa,Boehringer,2239.302265,Medio,2,Economico
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 110 mg,mg,Pradaxa,Boehringer,3115.036483,Medio,2,Economico
Dabigatran Etexilato,Capsula,Dabigatran Etexilato 110 mg,mg,Pradaxa,Boehringer,2669.506667,Medio,2,Economico
Trimebutina,Tableta,Trimebutina 200 mg,mg,Trimebutina,Gimed,496.5,Medio,2,Economico
Acetaminofen,Tableta,Acetaminofen 325 mg + N- Butil Bromuro De Hioscina 10 mg,mg,Acetaminofen + N-Butil Bromuro De Hioscina,Memphis,702.7937811,Medio,2,Economico
Rosuvastatina,Capsula,Rosuvastatina 40 mg,mg,Rovaril,Procaps,363.0188671,Medio,2,Economico
Cetirizina + Fenilefrina,Capsula,Cetirizina 5 mg + Fenilefrina 15 mg,mg,Alercet D,Procaps,7637.881137,Medio,2,Economico
Cetirizina + Fenilefrina,Capsula,Cetirizina 5 mg + Fenilefrina 15 mg,mg,Alercet D,Procaps,2844.048193,Medio,2,Economico
Tizanidina,Tableta,Tizanidina 2 mg,mg,Tizanidina,American Generics,1953.577983,Medio,2,Economico
Tizanidina,Tableta,Tizanidina 2 mg,mg,Tizanidina,American Generics,225.9741697,Medio,2,Economico
Trazodona,Tableta,Trazodona 50 mg,mg,Trazodona,Lafrancol,692.4068634,Medio,2,Economico
Tizanidina,Tableta,Tizanidina 4 mg,mg,Tizanidina,American Generics,2640.231912,Medio,2,Economico
Tizanidina,Tableta,Tizanidina 4 mg,mg,Tizanidina,American Generics,1941.086849,Alto,3,Economico
Lamotrigina,Tableta,Lamotrigina 100 mg,mg,Fenebra,Pisa,14.21428571,Bajo,1,Economico
Betahistina,Tableta,Betahistina 24 mg,mg,Betaserc,Lafrancol,5697.8,Alto,3,Economico
Betahistina,Tableta,Betahistina 24 mg,mg,Betaserc,Lafrancol,3090.736318,Alto,3,Economico
Desloratadina,Tableta,Desloratadina 5 mg,mg,Desloratadina,American Generics,1006.845276,Medio,2,Economico
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Ibuprofeno,Pentacoop,175.6966747,Bajo,1,Economico
Ibuprofeno,Tableta,Ibuprofeno 600 mg,mg,Ibuprofeno,Pentacoop,174.0,Bajo,1,Economico
Hidroxizina,Tableta,Hidroxicina 25 mg,mg,Hidroxicina,Memphis,186.9262305,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Cardiomax,Lafrancol,9146.816667,Alto,3,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Cardiomax,Lafrancol,6658.095238,Alto,3,Economico
Ampicilina,Tableta,Ampicilina 1 g,g,Ampicilina,Pentacoop,607.6681877,Bajo,1,Economico
Ampicilina,Tableta,Ampicilina 1 g,g,Ampicilina,Pentacoop,280.0,Bajo,1,Economico
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Cardiomax,Lafrancol,19912.27551,Alto,3,Moderado
Rosuvastatina,Tableta,Rosuvastatina 40 mg,mg,Cardiomax,Lafrancol,12269.78632,Alto,3,Moderado
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,Tecnoquimicas,523.610507,Medio,2,Economico
Cetirizina,Tableta,Cetirizina 10 mg,mg,Cetirizina,Tecnoquimicas,138.0524064,Medio,2,Economico
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Taxanida,Labinco,1666.581163,Bajo,1,Economico
Nitazoxanida,Tableta,Nitazoxanida 500 mg,mg,Taxanida,Labinco,598.6666667,Bajo,1,Economico
Metoclopramida,Tableta,Metoclopramida 10 mg,mg,Metoclopramida,La Sante,34.0,Medio,2,Economico
Ciprofloxacina,Tableta,Ciprofloxacina 500 mg,mg,Bioquiflox,Bioquifar,740.9548355,Medio,2,Economico
Ciprofloxacina,Tableta,Ciprofloxacina 500 mg,mg,Bioquiflox,Bioquifar,194.3031915,Bajo,1,Economico
Quetiapina,Tableta,Quetiapina 25 mg,mg,Quetiapina,Tecnoquimicas,153.1410035,Medio,2,Economico
Quetiapina,Tableta,Quetiapina 25 mg,mg,Quetiapina,Tecnoquimicas,320.4522737,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Garmisch Rosuvax,Mega Labs,6054.066667,Alto,3,Economico
Rosuvastatina,Tableta,Rosuvastatina 10 mg,mg,Garmisch Rosuvax,Mega Labs,113.8244898,Medio,2,Economico
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Garmisch Rosuvax,Mega Labs,7060.087447,Alto,3,Economico
Rosuvastatina,Tableta,Rosuvastatina 20 mg,mg,Garmisch Rosuvax,Mega Labs,211.5714286,Medio,2,Economico
Tamsulosina,Tableta,"Tamsulosina 0,4 mg",mg,Omnic Ocas,Astellas,6599.9,Alto,3,Economico
Tamsulosina,Tableta,"Tamsulosina 0,4 mg",mg,Omnic Ocas,Astellas,1389.317102,Medio,2,Economico
Clonidina,Tableta,"Clonidina 0,15 mg",mg,Clonidina,Ecar,612.5,Medio,2,Economico
Clonidina,Tableta,"Clonidina 0,15 mg",mg,Clonidina,Ecar,29.05580054,Bajo,1,Economico
Quetiapina,Tableta,Quetiapina 200 mg,mg,Quetiapina,Tecnoquimicas,674.6,Medio,2,Economico
Quetiapina,Tableta,Quetiapina 200 mg,mg,Quetiapina,Tecnoquimicas,2183.986055,Medio,2,Economico
Candesartan,Tableta,Candesartan 8 mg,mg,Candeprex,Mega Labs,519.4666667,Alto,3,Economico
Candesartan,Tableta,Candesartan 8 mg,mg,Candeprex,Mega Labs,258.7172073,Alto,3,Economico
Candesartan,Tableta,Candesartan 16 mg,mg,Candeprex,Mega Labs,1039.066667,Alto,3,Economico
Candesartan,Tableta,Candesartan 16 mg,mg,Candeprex,Mega Labs,909.3714866,Medio,2,Economico
Ibuprofeno Y Cafeina,Capsula,Ibuprofeno 400 mg + Cafeina 65 mg,mg,Dolpirin Max,Biochem,899.5000414,Bajo,1,Economico
Levodopa + Carbidopa + Entacapona,Tableta,Carbidopa 50 mg + Entacapona 200 mg + Levodopa 200 mg,mg,Stalevo,Sandoz,2643.327491,Medio,2,Economico
Levodopa + Carbidopa + Entacapona,Tableta,Carbidopa 50 mg + Entacapona 200 mg + Levodopa 200 mg,mg,Stalevo,Sandoz,3840.774786,Medio,2,Economico
Ibuprofeno,Tableta,Ibuprofeno 400 mg,mg,Espidifen,Zambon,895.6666667,Medio,2,Economico
Tadalafil,Tableta,Tadalafilo 20 mg,mg,Ludika,Ecar,10944.35056,Medio,2,Moderado
Tadalafil,Tableta,Tadalafilo 20 mg,mg,Ludika,Ecar,819.5672341,Bajo,1,Economico
Tramadol,Capsula,Tramadol 50 mg,mg,Tramadol,Tecnoquimicas,953.088911,Alto,3,Economico
Tramadol,Capsula,Tramadol 50 mg,mg,Tramadol,Tecnoquimicas,275.2765957,Medio,2,Economico
Tizanidina,Capsula,Tizanidina 6 mg,mg,Cimbrar,Euroetika,13064.79103,Medio,2,Moderado
Tizanidina,Capsula,Tizanidina 6 mg,mg,Cimbrar,Euroetika,6581.073133,Medio,2,Economico
Irbesartan,Tableta,Irbesartan 150 mg,mg,Irbesartan,La Sante,494.2390692,Medio,2,Economico
Irbesartan,Tableta,Irbesartan 150 mg,mg,Irbesartan,La Sante,172.9820988,Bajo,1,Economico
Metocarbamol,Tableta,Metocarbamol 750 mg,mg,Metocarbamol,Profma,75.0693289,Bajo,1,Economico
Loratadina,Tableta,Loratadina 10 mg,mg,Loratadina,Gimed,357.0,Alto,3,Economico
Acido Micofenolico,Tableta,Acido Micofenolico 500 mg,mg,Micoflavin,Mega Labs,1553.036055,Medio,2,Economico
Paroxetina,Tableta,Paroxetina 20 mg,mg,Paroxetina,Sandoz,1091.0,Bajo,1,Economico
Irbesartan,Tableta,Irbesartan 300 mg,mg,Irbesartan,La Sante,1025.552699,Medio,2,Economico
Irbesartan,Tableta,Irbesartan 300 mg,mg,Irbesartan,La Sante,268.0494164,Bajo,1,Economico
Quetiapina,Tableta,Quetiapina 100 mg,mg,Quetiapina,Tecnoquimicas,427.1830986,Alto,3,Economico
Quetiapina,Tableta,Quetiapina 100 mg,mg,Quetiapina,Tecnoquimicas,1258.159188,Medio,2,Economico
Quetiapina,Tableta,Quetiapina 300 mg,mg,Quetiapina,Tecnoquimicas,970.797619,Medio,2,Economico
Quetiapina,Tableta,Quetiapina 300 mg,mg,Quetiapina,Tecnoquimicas,2688.972568,Medio,2,Economico
Simvastatin Y Ezetimibe,Capsula,Ezetimiba 10 mg + Simvastatina 40 mg,mg,Ezetimiba,Colmed,4966.666667,Medio,2,Economico
Simvastatin Y Ezetimibe,Capsula,Ezetimiba 10 mg + Simvastatina 40 mg,mg,Ezetimiba,Colmed,709.3370166,Medio,2,Economico
Simvastatin Y Ezetimibe,Capsula,Simvastatina 20 mg + Ezetimiba 10 mg,mg,Ezetimiba,Colmed,2232.291667,Medio,2,Economico
Simvastatin Y Ezetimibe,Capsula,Simvastatina 20 mg + Ezetimiba 10 mg,mg,Ezetimiba,Colmed,574.1943396,Medio,2,Economico
Nifuroxazida Y Metronidazol,Capsula,Nifuroxazida 600 mg + Metronidazol 200 mg,mg,Mebinol Complex,Gimed,861.2,Medio,2,Economico
Hiosamina,Tableta,N- Butil Bromuro De Hioscina 10 mg,mg,Hioscina N-Butil Bromuro,Pentacoop,473.7931495,Medio,2,Economico
Levofloxacina,Tableta,Levofloxacina 500 mg,mg,Levofloxacina,Sandoz,3317.0,Bajo,1,Economico
Atorvastatina,Tableta,Atorvastatina 10 mg,mg,Atorfit,Bioquifar,283.3333333,Bajo,1,Economico
Atorvastatina,Tableta,Atorvastatina 10 mg,mg,Atorfit,Bioquifar,54.87015945,Bajo,1,Economico
Atorvastatina Y Ezetimibe,Tableta,Ezetimiba 10 mg + Atorvastatina 20 mg,mg,Garmisch Colestir,Mega Labs,4561.53405,Alto,3,Economico
Atorvastatina Y Ezetimibe,Tableta,Ezetimiba 10 mg + Atorvastatina 20 mg,mg,Garmisch Colestir,Mega Labs,1028.508349,Medio,2,Economico
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorfit,Bioquifar,394.2089094,Bajo,1,Economico
Atorvastatina,Tableta,Atorvastatina 20 mg,mg,Atorfit,Bioquifar,67.8,Medio,2,Economico
Ácido Alendrónico Y Colecalciferol,Tableta,Acido Alendronico   70 mg + Colecalciferol 5600 IU,mg,Osficar,Lafrancol,13967.0,Medio,2,Moderado
Orlistat,Capsula,Orlistat 120 mg,mg,Orlistat,La Sante,1997.320501,Medio,2,Economico
Ibuprofeno + Cafeina,Capsula,Ibuprofeno 200 mg + Cafeina 65 mg,mg,Advil Ultra,Glaxosmithkline,1507.087294,Medio,2,Economico
Ibuprofeno + Cafeina,Capsula,Ibuprofeno 200 mg + Cafeina 65 mg,mg,Advil Ultra,Glaxosmithkline,1270.013889,Medio,2,Economico
Sildenafil,Tableta,Sildenafil 50 mg,mg,Sildenafilo,Memphis,1766.379543,Medio,2,Economico
Secnidazol,Tableta,Secnidazol 500 mg,mg,Nidaz,Nti New Trade,1028.25,Medio,2,Economico
Abacavir + Lamivudina,Tableta,Lamivudina 300 mg + Abacavir 600 mg,mg,Diviral,Legrand,1317.120376,Medio,2,Economico
Doxazosina,Tableta,Doxazosina 4 mg,mg,Carduran,Pfizer,5869.0,Medio,2,Economico
Doxazosina,Tableta,Doxazosina 4 mg,mg,Carduran,Pfizer,4868.221586,Medio,2,Economico
Omega-3-Trigliceridos,Capsula,Acido Eicosapentaenoico Y Acido Docosahexaenoico 1200 mg,mg,Epax,Procaps,2212.060483,Medio,2,Economico
Omega-3-Trigliceridos,Capsula,Acido Eicosapentaenoico Y Acido Docosahexaenoico 1200 mg,mg,Epax,Procaps,613.7731497,Medio,2,Economico
N-Butil Bromuro De Hioscina + Dipirona,Tableta,Dipirona 300 mg + N- Butil Bromuro De Hioscina 10 mg,mg,Espasmobil Grageas,Farmacol Chinoin,1212.34893,Medio,2,Economico
N-Butil Bromuro De Hioscina + Dipirona,Tableta,Dipirona 300 mg + N- Butil Bromuro De Hioscina 10 mg,mg,Espasmobil Grageas,Farmacol Chinoin,606.9230769,Medio,2,Economico
